lnr,forening,name,kommune,year,tonnes,method,lime,nve_nr,utm33_north,utm33_east,lat,lon
875,Uråna Fiskelag,Gangvatn,Arendal,2000,9.6,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
3538,Stråndevatn Fiskelag,Stråndevatn,Bygland,1996,10.0,Båt,Kalksteinmel,8195,6552248,85398,58.9086,7.79371
4277,Ufsvann Fiskarlag,Vålevatn,Vegårdshei,1998,10.0,Båt,Kalksteinmel,9200,6529634,132431,58.7496,8.6422
129,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,1998,10.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
873,Uråna Fiskelag,Gangvatn,Arendal,1997,10.0,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
2113,Stigselv Fiskelag,Langvann,Birkenes,1996,10.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2114,Stigselv Fiskelag,Langvann,Birkenes,1997,10.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2115,Stigselv Fiskelag,Langvann,Birkenes,1998,10.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
4112,Stigselv Fiskelag,Vestervann,Birkenes,1998,10.0,Båt,Kalksteinmel,10977,6490117,108700,58.3763,8.30282
2704,Ogge Fiskelag,Ogge,Birkenes,2001,850.0,Båt,Kalksteinmel,1322,6496094,97469,58.4195,8.10173
2705,Ogge Fiskelag,Ogge,Birkenes,2002,750.0,Båt,Kalksteinmel,1322,6496094,97469,58.4195,8.10173
2706,Ogge Fiskelag,Ogge,Birkenes,2003,700.0,Båt,Kalksteinmel,1322,6496094,97469,58.4195,8.10173
2707,Ogge Fiskelag,Ogge,Birkenes,2004,350.0,Båt,Kalksteinmel,1322,6496094,97469,58.4195,8.10173
2708,Ogge Fiskelag,Ogge,Birkenes,2005,350.0,Båt,Kalksteinmel,1322,6496094,97469,58.4195,8.10173
2709,Ogge Fiskelag,Ogge,Birkenes,2006,350.0,Båt,Kalksteinmel,1322,6496094,97469,58.4195,8.10173
